Title,URL Name,Summary,Question,Content,Visible In Internal App,Visible to Customer,Visible In Public Knowledge Base,Visible to Partner
Devpost,devpost,"Agentforce NOW Workshop: March 20, 2025 / 10am - 12pm EST",What is: Devpost?,"Agentforce NOW Workshop: March 20, 2025 / 10am - 12pm EST",True,True,False,False
Devpost,devpost,"Dive into short, informative how-to videos featuring out-of-the-box Agentforce use cases, features and capabilities.",What is: Devpost?,"Dive into short, informative how-to videos featuring out-of-the-box Agentforce use cases, features and capabilities.",True,True,False,False
Devpost,devpost,Agentforce Decoded for Developers: https://www.youtube.com/playlist?list=PLgIMQe2PKPSIELU1F09KPVyLF-V_N8jem,What is: Devpost?,Agentforce Decoded for Developers: https://www.youtube.com/playlist?list=PLgIMQe2PKPSIELU1F09KPVyLF-V_N8jem,True,True,False,False
Devpost,devpost,Agentforce Decoded for Admins: https://www.youtube.com/playlist?list=PLrC_ei2_Pv0Fb0i4wufGZsVwMyNj5ticI,What is: Devpost?,Agentforce Decoded for Admins: https://www.youtube.com/playlist?list=PLrC_ei2_Pv0Fb0i4wufGZsVwMyNj5ticI,True,True,False,False
Devpost,devpost,Join and get inspired by members of the Agentblazer Community: https://trailhead.salesforce.com/trailblazer-community/groups/0F94V0000002E89,What is: Devpost?,Join and get inspired by members of the Agentblazer Community: https://trailhead.salesforce.com/trailblazer-community/groups/0F94V0000002E89,True,True,False,False
Devpost,devpost,Discover use cases from the NYC Agentforce Hackathon: http://sforce.co/NYCHackUseCases,What is: Devpost?,Discover use cases from the NYC Agentforce Hackathon: http://sforce.co/NYCHackUseCases,True,True,False,False
Devpost,devpost,How Salesforce Shapes Ethical AI Standards in the Agent Era: https://www.salesforce.com/news/stories/responsible-agentic-ai-guidelines/,What is: Devpost?,How Salesforce Shapes Ethical AI Standards in the Agent Era: https://www.salesforce.com/news/stories/responsible-agentic-ai-guidelines/,True,True,False,False
Devpost,devpost,"Trailhead: Salesforce Platform Basics, Platform Development Basics, Get Started with Salesforce Development",What is: Devpost?,"Trailhead: Salesforce Platform Basics, Platform Development Basics, Get Started with Salesforce Development",True,True,False,False
Devpost,devpost,Hackathon Resource Guide: http://sforce.co/VirtualHackathonGuide,What is: Devpost?,Hackathon Resource Guide: http://sforce.co/VirtualHackathonGuide,True,True,False,False
Devpost,devpost,Org Access Form: https://forms.gle/KFVfJncxJzeb4yoZ9,What is: Devpost?,Org Access Form: https://forms.gle/KFVfJncxJzeb4yoZ9,True,True,False,False
Devpost,devpost,Quick Start with Agentforce: https://trailhead.salesforce.com/content/learn/projects/quick-start-build-your-first-agent-with-agentforce,What is: Devpost?,Quick Start with Agentforce: https://trailhead.salesforce.com/content/learn/projects/quick-start-build-your-first-agent-with-agentforce,True,True,False,False
Devpost,devpost,Data Cloud Developer Center: https://developer.salesforce.com/developer-centers/data-cloud,What is: Devpost?,Data Cloud Developer Center: https://developer.salesforce.com/developer-centers/data-cloud,True,True,False,False
Devpost,devpost,RAG in Data Cloud overview: https://help.salesforce.com/s/articleView?id=sf.c360_a_rag_overview.htm,What is: Devpost?,RAG in Data Cloud overview: https://help.salesforce.com/s/articleView?id=sf.c360_a_rag_overview.htm,True,True,False,False
Devpost,devpost,The Coral Cloud Sample App: https://github.com/trailheadapps/coral-cloud,What is: Devpost?,The Coral Cloud Sample App: https://github.com/trailheadapps/coral-cloud,True,True,False,False
Devpost,devpost,Connect your Agentforce Org with Slack: http://sforce.co/CYAOWSvh,What is: Devpost?,Connect your Agentforce Org with Slack: http://sforce.co/CYAOWSvh,True,True,False,False
Devpost,devpost,Join the Agentbuilder Slack Workspace and the Virtual Hackathon channel,What is: Devpost?,Join the Agentbuilder Slack Workspace and the Virtual Hackathon channel,True,True,False,False
Devpost,devpost,Agentblazer Community Group: https://trailhead.salesforce.com/trailblazer-community/groups/0F94V0000002E89,What is: Devpost?,Agentblazer Community Group: https://trailhead.salesforce.com/trailblazer-community/groups/0F94V0000002E89,True,True,False,False
Devpost,devpost,Devpost Discussion Forum: https://agentforcehackathon.devpost.com/forum_topics,What is: Devpost?,Devpost Discussion Forum: https://agentforcehackathon.devpost.com/forum_topics,True,True,False,False
Devpost,devpost,Official Hackathon Rules and Translations: https://agentforcehackathon.devpost.com/rules,What is: Devpost?,Official Hackathon Rules and Translations: https://agentforcehackathon.devpost.com/rules,True,True,False,False
Hackathon Submission,hackathon-submission,"Ensure your submission demonstrates the problem you're solving, the technology applied, and the impact.",What is: Hackathon Submission?,"Ensure your submission demonstrates the problem you're solving, the technology applied, and the impact.",True,True,False,False
Hackathon Submission,hackathon-submission,"Your demo video should clearly showcase your use case, features, and technical approach.",What is: Hackathon Submission?,"Your demo video should clearly showcase your use case, features, and technical approach.",True,True,False,False
Hackathon Submission,hackathon-submission,Use screen recording tools like Quicktime or Camtasia. Avoid watermark tools. Record at 1080p resolution.,What is: Hackathon Submission?,Use screen recording tools like Quicktime or Camtasia. Avoid watermark tools. Record at 1080p resolution.,True,True,False,False
Hackathon Submission,hackathon-submission,Avoid generative AI audio/video tools in your demo. Focus on accessibility and clean presentation.,What is: Hackathon Submission?,Avoid generative AI audio/video tools in your demo. Focus on accessibility and clean presentation.,True,True,False,False
Hackathon Tips,hackathon-tips,"Organize a strong team with defined roles: leader, admin, developer, marketer, designer, analyst.",What is: Hackathon Tips?,"Organize a strong team with defined roles: leader, admin, developer, marketer, designer, analyst.",True,True,False,False
Hackathon Tips,hackathon-tips,"Find a unique, real-world use case. Avoid generic ones like 'order management'.",What is: Hackathon Tips?,"Find a unique, real-world use case. Avoid generic ones like 'order management'.",True,True,False,False
Hackathon Tips,hackathon-tips,"Design a thoughtful data model, agent actions, and required data for the use case.",What is: Hackathon Tips?,"Design a thoughtful data model, agent actions, and required data for the use case.",True,True,False,False
Hackathon Tips,hackathon-tips,"Distribute tasks, use demo data, and polish the UI/UX for submission.",What is: Hackathon Tips?,"Distribute tasks, use demo data, and polish the UI/UX for submission.",True,True,False,False
Hackathon Tips,hackathon-tips,"Craft a compelling story. Use optional slides to highlight value, features, and outcomes.",What is: Hackathon Tips?,"Craft a compelling story. Use optional slides to highlight value, features, and outcomes.",True,True,False,False
Architecture Overview,architecture-overview,"Agentforce system architecture includes Identity Mapping, Knowledge Base (RAG), AI Engine, Slack Bot, and Deployment module.",What is: Architecture Overview?,"Agentforce system architecture includes Identity Mapping, Knowledge Base (RAG), AI Engine, Slack Bot, and Deployment module.",True,True,False,False
Slack Integration,slack-integration,"Slack bot receives /ask command, retrieves user context via Devpost ID, queries the knowledge base, and sends result back to Slack.",What is: Slack Integration?,"Slack bot receives /ask command, retrieves user context via Devpost ID, queries the knowledge base, and sends result back to Slack.",True,True,False,False
Agentforce,agentforce,Knowledge base includes chunked markdown files stored in Data Cloud. Search Index is used by the Agentforce Retriever to find relevant data.,What is: Agentforce?,Knowledge base includes chunked markdown files stored in Data Cloud. Search Index is used by the Agentforce Retriever to find relevant data.,True,True,False,False
Agentforce,agentforce,Agentforce uses Prompt Template and GPT-4 to combine retrieved context with user question for accurate answers.,What is: Agentforce?,Agentforce uses Prompt Template and GPT-4 to combine retrieved context with user question for accurate answers.,True,True,False,False
Agentforce,agentforce,"Data Retriever module connects to Data Cloud Search Index, retrieves context chunks and sends them into LLM prompt pipeline.",What is: Agentforce?,"Data Retriever module connects to Data Cloud Search Index, retrieves context chunks and sends them into LLM prompt pipeline.",True,True,False,False
Slack Integration,slack-integration,"Slack bot is built with Bolt SDK, hosted via AWS Lambda, and uses Firestore to store Devpost and Salesforce user mapping.",What is: Slack Integration?,"Slack bot is built with Bolt SDK, hosted via AWS Lambda, and uses Firestore to store Devpost and Salesforce user mapping.",True,True,False,False
Agentforce,agentforce,"Personalization Rules can adjust answers based on Devpost ID, role, and prior queries to improve context relevance.",What is: Agentforce?,"Personalization Rules can adjust answers based on Devpost ID, role, and prior queries to improve context relevance.",True,True,False,False
Architecture Overview,architecture-overview,Data Cloud Playground is created using Trailhead Coral Sample App with pre-enabled Data Cloud and Agentforce modules.,What is: Architecture Overview?,Data Cloud Playground is created using Trailhead Coral Sample App with pre-enabled Data Cloud and Agentforce modules.,True,True,False,False
Hackathon Tips,hackathon-tips,Craft a compelling story for your final submission.,What is: Hackathon Tips?,Craft a compelling story for your final submission.,True,True,False,False
Hackathon Submission,hackathon-submission,Create a video that includes footage explaining your Project’s features and functionality through a comprehensive demonstration.,What is: Hackathon Submission?,Create a video that includes footage explaining your Project’s features and functionality through a comprehensive demonstration.,True,True,False,False
Hackathon Submission,hackathon-submission,"The video should include slides to introduce your use case and features, but slides are optional.",What is: Hackathon Submission?,"The video should include slides to introduce your use case and features, but slides are optional.",True,True,False,False
Hackathon Submission,hackathon-submission,Demo videos should be full screen and recorded in at least 1080p.,What is: Hackathon Submission?,Demo videos should be full screen and recorded in at least 1080p.,True,True,False,False
Hackathon Submission,hackathon-submission,Use tools like QuickTime or Camtasia; avoid watermarked tools.,What is: Hackathon Submission?,Use tools like QuickTime or Camtasia; avoid watermarked tools.,True,True,False,False
Hackathon Submission,hackathon-submission,"Ensure accessibility: use high-contrast themes, large fonts, and no copyrighted material.",What is: Hackathon Submission?,"Ensure accessibility: use high-contrast themes, large fonts, and no copyrighted material.",True,True,False,False
Hackathon Submission,hackathon-submission,Avoid generative AI tools for video/audio and do not edit Salesforce characters like Einstein.,What is: Hackathon Submission?,Avoid generative AI tools for video/audio and do not edit Salesforce characters like Einstein.,True,True,False,False
Hackathon Tips,hackathon-tips,"1. Organize: build a well-rounded, and collaborative team. Clearly define roles and align on complementary skill sets to maximize efficiency and creativity.",What is: Hackathon Tips?,"1. Organize: build a well-rounded, and collaborative team. Clearly define roles and align on complementary skill sets to maximize efficiency and creativity.",True,True,False,False
Hackathon Tips,hackathon-tips,1a. Teams may be comprised of up to 5 individuals. Consider roles & skill sets you may not have yourself including:,What is: Hackathon Tips?,1a. Teams may be comprised of up to 5 individuals. Consider roles & skill sets you may not have yourself including:,True,True,False,False
Hackathon Tips,hackathon-tips,1a-i. Team leader drives the team's vision and coordination.,What is: Hackathon Tips?,1a-i. Team leader drives the team's vision and coordination.,True,True,False,False
Hackathon Tips,hackathon-tips,1a-ii. Admin builds functionality using low-code tools.,What is: Hackathon Tips?,1a-ii. Admin builds functionality using low-code tools.,True,True,False,False
Hackathon Tips,hackathon-tips,1a-iii. Developer pushes boundaries with custom components.,What is: Hackathon Tips?,1a-iii. Developer pushes boundaries with custom components.,True,True,False,False
Hackathon Tips,hackathon-tips,1a-iv. Marketer crafts a compelling narrative and pitch.,What is: Hackathon Tips?,1a-iv. Marketer crafts a compelling narrative and pitch.,True,True,False,False
Hackathon Tips,hackathon-tips,1a-v. Designer enhances usability and visual appeal.,What is: Hackathon Tips?,1a-v. Designer enhances usability and visual appeal.,True,True,False,False
Hackathon Tips,hackathon-tips,1a-vi. Data analyst provides insights by interpreting and visualizing data.,What is: Hackathon Tips?,1a-vi. Data analyst provides insights by interpreting and visualizing data.,True,True,False,False
Hackathon Tips,hackathon-tips,1a-vii. Content creator develops engaging content to support the pitch.,What is: Hackathon Tips?,1a-vii. Content creator develops engaging content to support the pitch.,True,True,False,False
Hackathon Tips,hackathon-tips,"2. Ideate: identify a unique, impactful, and innovative use case that effectively addresses the challenge.",What is: Hackathon Tips?,"2. Ideate: identify a unique, impactful, and innovative use case that effectively addresses the challenge.",True,True,False,False
Hackathon Tips,hackathon-tips,2a. A winning solution starts with a unique and compelling use case. Think outside of the box and find industry expertise.,What is: Hackathon Tips?,2a. A winning solution starts with a unique and compelling use case. Think outside of the box and find industry expertise.,True,True,False,False
Hackathon Tips,hackathon-tips,2b. Avoid common & generic examples like:,What is: Hackathon Tips?,2b. Avoid common & generic examples like:,True,True,False,False
Hackathon Tips,hackathon-tips,2b-i. Order management - where is my order?,What is: Hackathon Tips?,2b-i. Order management - where is my order?,True,True,False,False
Hackathon Tips,hackathon-tips,2b-ii. Case management - can you help me with my case?,What is: Hackathon Tips?,2b-ii. Case management - can you help me with my case?,True,True,False,False
Hackathon Tips,hackathon-tips,"3. Design: develop a robust architecture and a thoughtful data model to ensure seamless, effective user experience.",What is: Hackathon Tips?,"3. Design: develop a robust architecture and a thoughtful data model to ensure seamless, effective user experience.",True,True,False,False
Hackathon Tips,hackathon-tips,3a-i. Define your data model using standard or custom objects.,What is: Hackathon Tips?,3a-i. Define your data model using standard or custom objects.,True,True,False,False
Hackathon Tips,hackathon-tips,3a-ii. Think about your agent’s actions and use cases.,What is: Hackathon Tips?,3a-ii. Think about your agent’s actions and use cases.,True,True,False,False
Hackathon Tips,hackathon-tips,3a-iii. Identify the necessary data.,What is: Hackathon Tips?,3a-iii. Identify the necessary data.,True,True,False,False
Hackathon Tips,hackathon-tips,3a-iv. Define your UI/UX.,What is: Hackathon Tips?,3a-iv. Define your UI/UX.,True,True,False,False
Hackathon Tips,hackathon-tips,4. Build: distribute tasks and work collaboratively to develop as much of your solution as possible while maintaining quality.,What is: Hackathon Tips?,4. Build: distribute tasks and work collaboratively to develop as much of your solution as possible while maintaining quality.,True,True,False,False
Hackathon Tips,hackathon-tips,4a-i. Tools - use the toolkit to your advantage.,What is: Hackathon Tips?,4a-i. Tools - use the toolkit to your advantage.,True,True,False,False
Hackathon Tips,hackathon-tips,4a-ii. Data - create demo data and ensure enough data is present.,What is: Hackathon Tips?,4a-ii. Data - create demo data and ensure enough data is present.,True,True,False,False
Hackathon Tips,hackathon-tips,4a-iii. Agents - ensure Agentforce is central to the solution.,What is: Hackathon Tips?,4a-iii. Agents - ensure Agentforce is central to the solution.,True,True,False,False
Hackathon Tips,hackathon-tips,4a-iv. UI/UX - polish page and record layouts.,What is: Hackathon Tips?,4a-iv. UI/UX - polish page and record layouts.,True,True,False,False
Hackathon Tips,hackathon-tips,4a-v. App - build supporting components around your agent.,What is: Hackathon Tips?,4a-v. App - build supporting components around your agent.,True,True,False,False
Hackathon Tips,hackathon-tips,5. Prepare: craft a compelling story for your final submission.,What is: Hackathon Tips?,5. Prepare: craft a compelling story for your final submission.,True,True,False,False
Hackathon Tips,hackathon-tips,5a. Tell a story with your demo that showcases the true power of Agentforce.,What is: Hackathon Tips?,5a. Tell a story with your demo that showcases the true power of Agentforce.,True,True,False,False
Hackathon Tips,hackathon-tips,5b. Use slides (optional) as a tool to tell the story of what you’ve built and the use case.,What is: Hackathon Tips?,5b. Use slides (optional) as a tool to tell the story of what you’ve built and the use case.,True,True,False,False
Hackathon Tips,hackathon-tips,5c. Record a clean demo that showcases the app and agent that you’ve built.,What is: Hackathon Tips?,5c. Record a clean demo that showcases the app and agent that you’ve built.,True,True,False,False
Hackathon Tips,hackathon-tips,5d. Tell a story with your script that highlights the technology and the use case.,What is: Hackathon Tips?,5d. Tell a story with your script that highlights the technology and the use case.,True,True,False,False
